Name,Price,Rating,Proccesor,Core,Thread,RAM(GB),Storage,Graphic_card,Display,Pixel,OS
HP Pavilion 15-ec2004AX Gaming Laptop,66240,62.0,5th Gen AMD Ryzen 5  5600H,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce GTX 1650,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-du1516TU Laptop,66240,56.0,10th Gen Intel Core i3 10110U,Dual Core,4,8 ,512GB,Intel UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14s-dr2015TU Laptop,66240,50.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel UHD,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14s-dy2501tu Laptop,66240,,11th Gen Intel Core i3 1115G4 ,Dual Core,4,8 ,256GB,Intel UHD Graphics,14 inches, 1920 x 1080 pixels,Windows 10  OS
HP 14s-dy2500TU Laptop,66240,,11th Gen Intel Core i3,Dual Core</li,,8 ,256GB,Intel Integrated UHD,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-GR0012AU Laptop,66240,56.0,3rd Gen AMD Ryzen 3  3250U,Dual Core,4,8 ,1TB,256GB SSD,AMD Radeon Vega 6,,"15.6 inches, 1920 x 1080 pixels"
HP 15s-du1052TU Laptop,66240,,Intel Pentium Gold 6405U,Dual Core</li,,4 ,1TB,Intel Integrated UHD,15.6 inches, 1366 x 768 pixels,Windows 10 OS
HP 14s-fr0012AU Laptop,66240,50.0,3rd Gen AMD Ryzen 5  3450U,Quad Core</li,,8 ,512GB,AMD Radeon Vega 8,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14s-dr1006TU Laptop,66240,55.0,10th Gen Intel Core i7 1065G7,Quad Core,8,8 ,512GB,Intel Integrated Iris Plus,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP Spectre x360 13-aw0211TU,66240,55.0,10th Gen Intel Core i5 1035G4,Quad Core,8,8 ,512GB,Intel Iris Plus,13.3 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-du1034tu,66240,57.0,10th Gen Intel Core i5 10210U,Quad Core,8,8 ,1TB,Intel UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP EliteBook 840 G6,66240,50.0,8th Gen Intel Core i5 8265U,Quad Core,8,8 ,512GB,Integrated UHD Graphics 620,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP Spectre x360 14-eu0558TU Laptop,66240,71.0,Intel Core Ultra 7 Series 1 155H,16 Cores (6P + 8E + 2LP-E),22,32,1TB,Intel Arc Graphics,14 inches, 2880 x 1800 pixels,Windows 11 OS
